US-Wi0	Young red pine (YRP)	46.6187780	-91.0814440
US-Wi1	Intermediate hardwood (IHW)	46.7304720	-91.2329440
US-Wi2	Intermediate red pine (IRP)	46.6868890	-91.1528330
US-Wi3	Mature hardwood (MHW)	46.6347220	-91.0986670
US-Wi4	Mature red pine (MRP)	46.7393330	-91.1662500
US-Wi5	Mixed young jack pine (MYJP)	46.6530830	-91.0858060
US-Wi6	Pine barrens #1 (PB1)	46.6248890	-91.2982220
US-Wi7	Red pine clearcut (RPCC)	46.6491110	-91.0692780
US-Wi8	Young hardwood clearcut (YHW)	46.7223330	-91.2524170
US-Wi9	Young Jack pine (YJP)	46.738514	-91.074644
US-Wkg	Walnut Gulch Kendall Grasslands	31.7365	-109.9419
ZA-Kru	Skukuza	-25.0197	31.4969
ZM-Mon	Mongu	-15.4391	23.2525
